dataset,rows,cols,target,exact,near,fds,rules,target_leak_relations,structural_relations,critical,high,overlap_rows,L,F,H,R,I,T,BTI,grade,runtime_s
tep_braatz,10560,53,fault,0,17,0,0,0,19,0,1,,0.7236,0.9615,1.0,0.6667,0.8039,0.5,0.7688,B,170.84
unsw_nb15,82332,45,attack_cat,2,2,4,9,0,3,0,1,0.0,1.0,0.7727,1.0,0.9936,0.8387,0.25,0.7792,B,192.6
nsl_kdd,125973,43,class,2,2,0,3,0,2,1,0,610.0,1.0,0.9048,1.0,0.9324,0.8571,0.25,0.7965,B,177.53
batadal03,8761,45,,39,0,0,3,0,7,0,0,,,0.5455,,1.0,0.75,0.75,0.7267,B,44.87
batadal04,4177,45,ATT_FLAG,44,0,12,1,0,8,0,1,,1.0,0.6364,1.0,0.6827,0.7857,0.75,0.8209,A,108.91
grid_stability,10000,14,stabf,2,0,0,0,1,1,3,0,,0.0,0.8462,1.0,0.7179,1.0,0.5,0.2556,F,11.64
ai4i2020,10000,14,Machine failure,0,0,0,4,0,0,2,0,,0.009,0.6154,1.0,0.9722,1.0,0.5,0.2516,F,10.28
synthea_medications,42989,13,TOTALCOST,2,0,2,0,1,0,3,0,,0.0,0.8333,1.0,1.0,1.0,0.5,0.2662,F,8.23
synthea_encounters,53346,15,TOTAL_CLAIM_COST,4,0,1,2,1,0,4,0,,0.0,0.9286,0.0,1.0,1.0,0.5,0.1218,F,10.75
synthea_procedures,34981,8,BASE_COST,1,0,1,0,0,0,0,0,,1.0,1.0,1.0,1.0,1.0,0.5,0.9136,A,1.63
synthea_patients,1171,25,HEALTHCARE_EXPENSES,2,0,0,2,0,0,0,0,,1.0,0.875,1.0,1.0,1.0,0.5,0.8926,A,4.84
tabformer_300k,300000,15,Is Fraud?,0,0,0,0,0,0,0,0,,1.0,1.0,1.0,1.0,1.0,0.0,0.5484,C,25.2
